university,rank_display,country,type,faculty_count
California Institute of Technology (Caltech),6,United States,Private,968
Columbia University,19,United States,Private,7087
Cornell University,21,United States,Private,2843
EPFL,14,Switzerland,Public,1767
ETH Zurich - Swiss Federal Institute of Technology,8,Switzerland,Public,2719
Fudan University,31,China (Mainland),Public,4526
Harvard University,5,United States,Private,4646
Imperial College London,7,United Kingdom,Public,8000
Institut Polytechnique de Paris,49,France,Public,1057
Johns Hopkins University,25,United States,Private,4855
KAIST - Korea Advanced Institute of Science & Technology,41,South Korea,Public,1307
King's College London,35,United Kingdom,Public,4216
Kyoto University,33,Japan,Public,3911
Massachusetts Institute of Technology (MIT),1,United States,Private,3065
McGill University,27,Canada,Public,3876
"Nanyang Technological University, Singapore (NTU)",12,Singapore,Public,3812
National University of Singapore (NUS),11,Singapore,Public,4288
New York University (NYU),42,United States,Private,7874
Northwestern University,30,United States,Private,3652
Peking University,18,China (Mainland),Public,5302
Princeton University,20,United States,Private,1050
Seoul National University,36,South Korea,Public,3859
Shanghai Jiao Tong University,50,China (Mainland),Public,4386
Stanford University,3,United States,Private,4725
Technical University of Munich,50,Germany,Public,6663
The Australian National University,27,Australia,Public,1763
The Chinese University of Hong Kong (CUHK),39,Hong Kong SAR,Public,2201
The Hong Kong University of Science and Technology,34,Hong Kong SAR,Public,697
The London School of Economics and Political Science (LSE),49,United Kingdom,Public,1172
The University of Edinburgh,16,United Kingdom,Public,4832
The University of Hong Kong,22,Hong Kong SAR,Public,2944
The University of Manchester,27,United Kingdom,Public,4889
The University of Melbourne,37,Australia,Public,4835
The University of New South Wales (UNSW Sydney),43,Australia,Public,3219
The University of Queensland,47,Australia,Public,3513
The University of Sydney,38,Australia,Public,3571
The University of Tokyo,23,Japan,Public,4473
Tsinghua University,17,China (Mainland),Public,6174
UCL,8,United Kingdom,Public,7195
Université PSL,44,France,Public,3914
University of British Columbia,46,Canada,Public,6201
"University of California, Berkeley (UCB)",32,United States,Public,3701
"University of California, Los Angeles (UCLA)",40,United States,Public,4487
"University of California, San Diego (UCSD)",48,United States,Public,4545
University of Cambridge,3,United Kingdom,Public,5800
University of Chicago,10,United States,Private,2703
University of Michigan-Ann Arbor,23,United States,Public,7132
University of Oxford,2,United Kingdom,Public,6708
University of Pennsylvania,13,United States,Private,5154
University of Toronto,26,Canada,Public,9881
Yale University,14,United States,Private,5391
Zhejiang University,45,China (Mainland),Public,6065
