year,university,ranking
2017,Massachusetts Institute of Technology (MIT),1
2018,Massachusetts Institute of Technology (MIT),1
2019,Massachusetts Institute of Technology (MIT),1
2020,Massachusetts Institute of Technology (MIT),1
2021,Massachusetts Institute of Technology (MIT),1
2022,Massachusetts Institute of Technology (MIT),1
2017,Stanford University,2
2018,Stanford University,2
2019,Stanford University,2
2020,Stanford University,2
2021,Stanford University,2
2022,Stanford University,3
2017,Harvard University,3
2018,Harvard University,3
2019,Harvard University,3
2020,Harvard University,3
2021,Harvard University,3
2022,Harvard University,5
2017,University of Cambridge,4
2018,University of Cambridge,5
2019,University of Cambridge,6
2020,University of Cambridge,7
2021,University of Cambridge,7
2022,University of Cambridge,3
2017,California Institute of Technology (Caltech),5
2018,California Institute of Technology (Caltech),4
2019,California Institute of Technology (Caltech),4
2020,California Institute of Technology (Caltech),5
2021,California Institute of Technology (Caltech),4
2022,California Institute of Technology (Caltech),6
2017,University of Oxford,6
2018,University of Oxford,6
2019,University of Oxford,5
2020,University of Oxford,4
2021,University of Oxford,5
2022,University of Oxford,2
2017,UCL,7
2018,UCL,7
2019,UCL,10
2020,UCL,8
2021,UCL,10
2022,UCL,8
2017,ETH Zurich - Swiss Federal Institute of Technology,8
2018,ETH Zurich - Swiss Federal Institute of Technology,10
2019,ETH Zurich - Swiss Federal Institute of Technology,7
2020,ETH Zurich - Swiss Federal Institute of Technology,6
2021,ETH Zurich - Swiss Federal Institute of Technology,6
2022,ETH Zurich - Swiss Federal Institute of Technology,8
2017,Imperial College London,9
2018,Imperial College London,8
2019,Imperial College London,8
2020,Imperial College London,9
2021,Imperial College London,8
2022,Imperial College London,7
2017,University of Chicago,10
2018,University of Chicago,9
2019,University of Chicago,9
2020,University of Chicago,10
2021,University of Chicago,9
2022,University of Chicago,10
