university,rank_display,country,type,faculty_count
California Institute of Technology (Caltech),6,United States,Private,968
Columbia University,19,United States,Private,"7,087"
Cornell University,21,United States,Private,"2,843"
EPFL,14,Switzerland,Public,"1,767"
ETH Zurich - Swiss Federal Institute of Technology,8,Switzerland,Public,"2,719"
Fudan University,31,China (Mainland),Public,"4,526"
Harvard University,5,United States,Private,"4,646"
Imperial College London,7,United Kingdom,Public,"8,000"
Institut Polytechnique de Paris,49,France,Public,"1,057"
Johns Hopkins University,25,United States,Private,"4,855"
KAIST - Korea Advanced Institute of Science & Technology,41,South Korea,Public,"1,307"
King's College London,35,United Kingdom,Public,"4,216"
Kyoto University,33,Japan,Public,"3,911"
Massachusetts Institute of Technology (MIT),1,United States,Private,"3,065"
McGill University,27,Canada,Public,"3,876"
"Nanyang Technological University, Singapore (NTU)",12,Singapore,Public,"3,812"
National University of Singapore (NUS),11,Singapore,Public,"4,288"
New York University (NYU),42,United States,Private,"7,874"
Northwestern University,30,United States,Private,"3,652"
Peking University,18,China (Mainland),Public,"5,302"
Princeton University,20,United States,Private,"1,050"
Seoul National University,36,South Korea,Public,"3,859"
Shanghai Jiao Tong University,50,China (Mainland),Public,"4,386"
Stanford University,3,United States,Private,"4,725"
Technical University of Munich,50,Germany,Public,"6,663"
The Australian National University,27,Australia,Public,"1,763"
The Chinese University of Hong Kong (CUHK),39,Hong Kong SAR,Public,"2,201"
The Hong Kong University of Science and Technology,34,Hong Kong SAR,Public,697
The London School of Economics and Political Science (LSE),49,United Kingdom,Public,"1,172"
The University of Edinburgh,16,United Kingdom,Public,"4,832"
The University of Hong Kong,22,Hong Kong SAR,Public,"2,944"
The University of Manchester,27,United Kingdom,Public,"4,889"
The University of Melbourne,37,Australia,Public,"4,835"
The University of New South Wales (UNSW Sydney),43,Australia,Public,"3,219"
The University of Queensland,47,Australia,Public,"3,513"
The University of Sydney,38,Australia,Public,"3,571"
The University of Tokyo,23,Japan,Public,"4,473"
Tsinghua University,17,China (Mainland),Public,"6,174"
UCL,8,United Kingdom,Public,"7,195"
Université PSL,44,France,Public,"3,914"
University of British Columbia,46,Canada,Public,"6,201"
"University of California, Berkeley (UCB)",32,United States,Public,"3,701"
"University of California, Los Angeles (UCLA)",40,United States,Public,"4,487"
"University of California, San Diego (UCSD)",48,United States,Public,"4,545"
University of Cambridge,3,United Kingdom,Public,"5,800"
University of Chicago,10,United States,Private,"2,703"
University of Michigan-Ann Arbor,23,United States,Public,"7,132"
University of Oxford,2,United Kingdom,Public,"6,708"
University of Pennsylvania,13,United States,Private,"5,154"
University of Toronto,26,Canada,Public,"9,881"
Yale University,14,United States,Private,"5,391"
Zhejiang University,45,China (Mainland),Public,"6,065"
