year,Neighborhood,number_of_incidents,location,Lat,Long
2015,Downtown,6022,"(42.355496, -71.059434)",42.355496,-71.059434
2015,Charlestown,1027,"(42.379822, -71.064941)",42.379822,-71.064941
2015,East Boston,2421,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2015,Roxbury,8749,"(42.315198, -71.091375)",42.315198,-71.091375
2015,Mattapan,5646,"(42.277142, -71.091375)",42.277142,-71.091375
2015,Dorchester,7352,"(42.302708, -71.072105)",42.302708,-71.072105
2015,South Boston,3936,"(42.338144, -71.047577)",42.338144,-71.047577
2015,Brighton,3279,"(42.34635, -71.162676)",42.34635,-71.162676
2015,Fenway/South End,7297,"(42.346268, -71.095764)",42.346268,-71.095764
2015,Jamaica Plain,2814,"(42.309737, -71.115143)",42.309737,-71.115143
2015,Hyde Park,2740,"(42.256529, -71.124056)",42.256529,-71.124056
2015,West Roxbury,2185,"(42.279755, -71.162676)",42.279755,-71.162676
2016,Downtown,10845,"(42.355496, -71.059434)",42.355496,-71.059434
2016,Charlestown,1990,"(42.379822, -71.064941)",42.379822,-71.064941
2016,East Boston,4055,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2016,Roxbury,15819,"(42.315198, -71.091375)",42.315198,-71.091375
2016,Mattapan,11204,"(42.277142, -71.091375)",42.277142,-71.091375
2016,Dorchester,13800,"(42.302708, -71.072105)",42.302708,-71.072105
2016,South Boston,6924,"(42.338144, -71.047577)",42.338144,-71.047577
2016,Brighton,6277,"(42.34635, -71.162676)",42.34635,-71.162676
2016,Fenway/South End,13016,"(42.346268, -71.095764)",42.346268,-71.095764
2016,Jamaica Plain,5610,"(42.309737, -71.115143)",42.309737,-71.115143
2016,Hyde Park,5205,"(42.256529, -71.124056)",42.256529,-71.124056
2016,West Roxbury,4202,"(42.279755, -71.162676)",42.279755,-71.162676
2017,Downtown,11358,"(42.355496, -71.059434)",42.355496,-71.059434
2017,Charlestown,2196,"(42.379822, -71.064941)",42.379822,-71.064941
2017,East Boston,4095,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2017,Roxbury,15977,"(42.315198, -71.091375)",42.315198,-71.091375
2017,Mattapan,11595,"(42.277142, -71.091375)",42.277142,-71.091375
2017,Dorchester,13733,"(42.302708, -71.072105)",42.302708,-71.072105
2017,South Boston,7303,"(42.338144, -71.047577)",42.338144,-71.047577
2017,Brighton,6541,"(42.34635, -71.162676)",42.34635,-71.162676
2017,Fenway/South End,12764,"(42.346268, -71.095764)",42.346268,-71.095764
2017,Jamaica Plain,5478,"(42.309737, -71.115143)",42.309737,-71.115143
2017,Hyde Park,5607,"(42.256529, -71.124056)",42.256529,-71.124056
2017,West Roxbury,4158,"(42.279755, -71.162676)",42.279755,-71.162676
2018,Downtown,10976,"(42.355496, -71.059434)",42.355496,-71.059434
2018,Charlestown,2034,"(42.379822, -71.064941)",42.379822,-71.064941
2018,East Boston,3800,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2018,Roxbury,15658,"(42.315198, -71.091375)",42.315198,-71.091375
2018,Mattapan,11560,"(42.277142, -71.091375)",42.277142,-71.091375
2018,Dorchester,12957,"(42.302708, -71.072105)",42.302708,-71.072105
2018,South Boston,7516,"(42.338144, -71.047577)",42.338144,-71.047577
2018,Brighton,6159,"(42.34635, -71.162676)",42.34635,-71.162676
2018,Fenway/South End,12454,"(42.346268, -71.095764)",42.346268,-71.095764
2018,Jamaica Plain,5480,"(42.309737, -71.115143)",42.309737,-71.115143
2018,Hyde Park,5517,"(42.256529, -71.124056)",42.256529,-71.124056
2018,West Roxbury,4095,"(42.279755, -71.162676)",42.279755,-71.162676
2019,Downtown,9936,"(42.355496, -71.059434)",42.355496,-71.059434
2019,Charlestown,1889,"(42.379822, -71.064941)",42.379822,-71.064941
2019,East Boston,3400,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2019,Roxbury,13030,"(42.315198, -71.091375)",42.315198,-71.091375
2019,Mattapan,9591,"(42.277142, -71.091375)",42.277142,-71.091375
2019,Dorchester,11022,"(42.302708, -71.072105)",42.302708,-71.072105
2019,South Boston,6286,"(42.338144, -71.047577)",42.338144,-71.047577
